,Title,published_date,views,likes,comments,Month
77,Why are APIs Important for Data Science?,2021-07-09,9504,446,95,Jul
78,Is Your Phone REALLY Listening to You?,2021-07-03,5142,278,116,Jul
79,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14174,574,120,Jun
80,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4066,225,41,Jun
81,#66DaysOfData - What is it? #shorts,2021-06-11,8889,383,54,Jun
82,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16439,1004,89,Jun
83,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7401,392,195,May
84,How Data Science Projects Pay Off,2021-05-22,10467,590,146,May
85,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10462,485,134,May
86,What is a lambda function (python)? #shorts,2021-05-13,14616,909,49,May
87,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,26101,1400,59,May
88,What is Pandas? (Data & Data Science) #shorts,2021-04-30,22765,1157,87,Apr
89,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,75780,3383,281,Apr
90,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23312,688,85,Apr
91,Why You Probably Won't Become a Data Scientist,2021-04-09,136051,3994,482,Apr
92,How to Go From Data Analyst to Data Scientist,2021-04-02,52524,1506,173,Apr
93,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3951,138,92,Mar
94,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18097,350,108,Mar
95,My Regrets as a Data Science Student,2021-03-12,23735,877,112,Mar
96,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3815,196,83,Mar
97,What is the Future of my Comment Leaderboard Project?,2021-02-26,5549,201,81,Feb
98,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6543,172,51,Feb
99,Why I Quit Data Science,2021-02-12,104302,2341,348,Feb
100,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10533,545,116,Jan
101,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6983,295,126,Jan
102,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9401,298,52,Jan
103,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,21823,693,134,Jan
104,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,36372,1129,147,Jan
105,What is the #66DaysOfData?,2020-12-26,68987,2307,210,Dec
106,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131111,5973,494,Dec
107,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10739,395,136,Dec
108,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23300,723,328,Dec
109,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,26879,833,167,Nov
110,6 Lessons from #66DaysOfData,2020-11-13,6690,340,93,Nov
111,100K Channel Update + AMA Stream!,2020-11-12,2318,127,24,Nov
112,Find a Data Science Project With These 3 Techniques,2020-11-06,16547,719,106,Nov
113,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,25951,659,156,Oct
114,git for Data Science Made Simple... (Hopefully),2020-10-23,18543,843,92,Oct
115,The PODCAST you might have asked for?,2020-10-19,2101,94,44,Oct
116,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6671,446,113,Oct
117,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13696,402,48,Oct
118,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6597,141,62,Oct
119,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,10767,549,83,Oct
120,Sh*t Data Scientists Say (Parody),2020-10-05,9379,575,143,Oct
121,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8572,366,93,Oct
122,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7046,289,61,Sep
123,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11368,288,69,Sep
124,5 Essential Data Science Projects for Your Portfolio,2020-09-26,71360,3064,208,Sep
125,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5162,196,64,Sep
126,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10935,442,58,Sep
127,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7364,250,34,Sep
128,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5082,193,56,Sep
129,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4145,157,35,Sep
130,The 5 Pillars of Success I Live By,2020-09-11,10112,873,152,Sep
131,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1884,78,25,Sep
132,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3991,161,43,Sep
133,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11697,733,144,Sep
134,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17828,567,89,Sep
135,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17549,786,93,Aug
136,Why I'm Starting Data Science Over Again.,2020-08-29,50653,2605,450,Aug
137,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14917,622,76,Aug
138,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12590,453,55,Aug
139,Don't Buy My Course..,2020-08-21,7321,357,146,Aug
140,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28961,1109,166,Aug
141,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3209,128,40,Aug
142,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6280,535,108,Aug
143,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4919,184,39,Aug
144,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11280,366,53,Aug
145,The Plagiarism Problem in Data Science,2020-08-07,13027,630,145,Aug
146,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14314,601,89,Aug
147,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4869,187,56,Aug
148,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11248,577,90,Jul
149,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2305,116,34,Jul
150,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5548,251,112,Jul
151,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8156,247,200,Jul
152,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1847,98,27,Jul
153,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28672,559,90,Jul
154,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,306159,6895,410,Jul
155,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30058,1121,121,Jul
156,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3606,135,50,Jul
157,The Best Computer for Data Science Beginners,2020-07-10,36773,840,157,Jul
158,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6136,228,82,Jul
159,Critiquing MY OWN Data Science Resume,2020-07-06,12545,396,88,Jul
160,Where to Start Learning Data Science,2020-07-03,18531,780,126,Jul
161,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4079,197,37,Jul
162,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4548,178,54,Jun
163,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15948,547,79,Jun
164,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2391,82,40,Jun
165,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2378,139,49,Jun
166,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4307,168,46,Jun
167,Why You're Struggling to Learn Data Science,2020-06-12,15180,1010,159,Jun
168,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11274,350,70,Jun
169,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23144,674,146,Jun
170,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5686,156,53,Jun
171,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,67901,2113,267,May
172,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20937,489,81,May
173,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,53403,1916,176,May
174,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11215,178,55,May
175,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,120416,4192,192,May
176,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3097,146,115,May
177,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4470,153,74,May
178,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1388560,48980,1997,May
179,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5446,195,42,May
180,What You Need to Know for a Data Science Internship,2020-05-01,20883,1151,59,May
181,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8292,348,54,Apr
182,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14965,460,103,Apr
183,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3088,85,24,Apr
184,5 Tips for Crushing the Work From Home Life,2020-04-20,5380,202,38,Apr
185,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,19285,703,126,Apr
186,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,26885,699,98,Apr
187,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,40680,855,151,Apr
188,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,67516,1814,211,Apr
189,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,73848,1670,270,Apr
190,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,113884,3237,611,Apr
191,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,172647,4575,170,Apr
192,When Data Science Goes Wrong,2020-03-30,1795,105,32,Mar
193,How to ULTRALEARN Data Science,2020-03-27,61356,3819,169,Mar
194,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4356,267,50,Mar
195,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12547,462,45,Mar
196,The Secret Data Scientists Don't Want You to Know,2020-03-16,10623,1137,105,Mar
197,The 5 Stages of Learning Data Science,2020-03-13,17339,1295,78,Mar
198,Can You Learn Data Science Without a Computer?,2020-03-11,1591,107,14,Mar
199,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,341169,21030,618,Mar
200,The Data Science Projects that Got Me a Job,2020-03-06,40218,1391,41,Mar
201,How to Integrate Data Science into Your Business,2020-03-02,3353,127,18,Mar
202,The Problem with Data Science,2020-02-28,3765,155,19,Feb
203,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1137,45,16,Feb
204,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,119726,2343,99,Feb
205,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,319910,17573,519,Feb
206,Data Science Advice for College Students,2020-02-14,68626,1956,197,Feb
207,Avoid These Data Science Resume Mistakes!,2020-02-10,27813,1226,60,Feb
208,Data Science Explained with ... Cooking?,2020-02-07,5092,310,48,Feb
209,The 4 Types of Sports Analytics Projects,2020-02-03,29062,957,60,Feb
210,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,574,18,13,Jan
211,How I Learned Data Science,2020-01-27,93423,2677,210,Jan
212,What is Sports Analytics Really?,2020-01-20,20377,597,73,Jan
213,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,109647,3110,577,Jan
214,How To Learn Programming for Data Science [3 Steps],2020-01-13,29859,1976,96,Jan
215,Data Science Fundamentals: SQL Queries,2020-01-10,6216,210,35,Jan
216,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3088,149,14,Jan
217,The 9 Books That Changed My Perspective in 2019,2020-01-03,3356,179,25,Jan
218,The Data Science Interview: What to Expect,2019-12-30,8359,374,32,Dec
219,5 Data Science Resolutions for 2020,2019-12-27,474,25,12,Dec
220,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16186,569,92,Dec
221,Collision Course: Sports Betting + Data Science,2019-12-20,16598,479,27,Dec
222,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100683,2939,204,Dec
223,5 Sports Analytics Books to Get You Started,2019-12-13,10404,394,57,Dec
224,Math Needed for Mastering Data Science,2019-12-09,55739,2845,222,Dec
225,The 5 Stages of Data Science Adoption,2019-12-06,1307,68,17,Dec
226,How YOU Can Land a Sports Analytics Job,2019-12-02,67152,2997,230,Dec
227,Data Science Fundamentals: Linear Regression,2019-11-29,6238,171,42,Nov
228,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1021,50,12,Nov
229,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5840,265,26,Nov
230,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45803,1748,80,Nov
231,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5895,136,31,Nov
232,Why Selling Is An Important Data Science Skill,2019-11-04,1603,79,13,Nov
233,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2770,73,18,Oct
234,Why is Balance Important in Data Science?,2019-10-16,695,32,13,Oct
235,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11728,578,54,Sep
236,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3702,113,31,Sep
237,6 Habits of Successful Data Scientists,2019-09-13,2185,94,17,Sep
238,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4319,97,9,Sep
239,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,29,Aug
240,Is Data Science Right For You?,2019-08-18,50026,1165,109,Aug
241,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14538,387,55,Aug
242,How To Get Data Science Experience (Without a Job),2019-08-08,29012,1378,75,Aug
243,Take Your Data Science Projects From Good to Great,2019-08-05,1587,107,11,Aug
244,The Projects You Should Do To Get A Data Science Job,2019-07-30,148371,5669,253,Jul
245,What Does a Data Scientist Actually Do?,2019-07-19,44697,1238,84,Jul
246,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12718,349,42,Jul
247,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17503,521,61,Jul
248,Data Science: Pros and Cons,2019-06-30,5135,213,18,Jun
249,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24151,1170,89,Jun
250,My Top 5 Data Science Internship Tips,2019-06-15,11713,487,23,Jun
251,Golf STATS: Strokes Gained Explained,2019-06-07,7092,147,28,Jun
252,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,612,44,5,May
253,What I Learned From My Three Degrees,2019-05-17,1242,60,12,May
254,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25587,1069,68,May
255,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1229,40,2,May
256,Should You Learn R for Data Science?,2019-04-25,20355,546,69,Apr
257,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46250,853,336,Apr
258,Work From Home Data Scientist: Day in the Life,2019-04-12,28009,761,101,Apr
259,Where to Look for Data Science Jobs,2019-03-29,2995,121,9,Mar
260,Data Science: Startup vs. Large Corporation,2019-03-21,2091,75,4,Mar
261,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6053,170,26,Mar
262,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4143,180,15,Mar
263,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,793,33,12,Mar
264,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1417,35,8,Mar
